연번,시군구,중개업소구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
116,중구,공인중개사,성말출,이레공인중개사사무소,"부산광역시 중구 대교로 157, 103동 209호",35.10410086,129.0371841,2022-01-14
117,중구,공인중개사,하종하,영신부동산중개사무소,"부산광역시 중구 광복로85번길 4-1, 3층",35.09883384,129.0343533,2022-01-14
118,중구,공인중개사,태길산,시도부동산중개,"부산광역시 중구 해관로 63-1, 3층",35.10459460,129.0353147,2022-01-14
119,중구,공인중개사,허춘안,코모도부동산중개,"부산광역시 중구 대청로 121-1, 102동 104호",35.10320936,129.0328621,2022-01-14
120,중구,공인중개사,장미자,성원부동산중개사무소,"부산광역시 중구 중앙대로 151, 3층",35.11101170,129.0375240,2022-01-14
121,중구,공인중개사,최용석,미라주공인중개사사무소,"부산광역시 중구 충장대로13번길 22, 203호",35.10728977,129.0384750,2022-01-14
122,중구,공인중개사,박동환,세금나라공인중개사사무소,"부산광역시 중구 흑교로25번길 6, 2층",35.10198044,129.0247300,2022-01-14
123,중구,공인중개사,김진권,북항미래공인중개사사무소,"부산광역시 중구 대교로 157, 서린엘마르센트로뷰 103동 311호",35.10410086,129.0371841,2022-01-14
124,중구,공인중개사,임예주,하이부동산공인중개사사무소,"부산광역시 중구 대영로 240, 101호(영주동, 도경오벨리스)",35.11174777,129.0368313,2022-01-14
125,중구,법인,현미나,주식회사동양부동산중개법인,"부산광역시 중구 광복로 43, 4층",35.09941314,129.0298418,2022-01-14
126,중구,법인,장용,주식회사신세계원부동산중개법인,"부산광역시 중구 구덕로 38, 4층",35.09826078,129.0317906,2022-01-14
127,서구,중개인,이상화,포스코부동산중개인사무소,부산광역시 서구 꽃마을로 33-1(서대신동3가),35.11703911,129.0123247,2022-01-14
128,서구,중개인,서영교,화성부동산중개인사무소,부산광역시 서구 감천로 219(암남동),35.08259057,129.0119422,2022-01-14
129,서구,중개인,이현수,서울부동산중개인사무소,"부산광역시 서구 대영로73번길 11(동대신동2가, 삼익아파트상가)",35.11267776,129.0186003,2022-01-14
130,서구,공인중개사,최미애,롯데대박공인중개사사무소,"부산광역시 서구 대티로 161, 상가301-201(서대신동3가, 대신롯데캐슬)",35.11663227,129.0103121,2022-01-14
131,서구,공인중개사,송주현,스마트공인중개사사무소,"부산광역시 서구 구덕로 164-12, B101(토성동3가, 토성세영엘리츠)",35.09903222,129.0205362,2022-01-14
132,서구,공인중개사,문윤수,코끼리공인중개사사무소,"부산광역시 서구 충무대로255번길 9, 제1-34(남부민동, 충무쇼핑맨션)",35.09302382,129.0232688,2022-01-14
133,서구,공인중개사,황지원,보람공인중개사사무소,"부산광역시 서구 대영로 24, 102-101(서대신동2가, 보람아파트)",35.10948699,129.0142825,2022-01-14
134,서구,공인중개사,조해옥,신동원부동산공인중개사사무소,"부산광역시 서구 보수대로154번길 29, 상가 301-107(동대신동1가, 동대신역 비스타동원)",35.11037067,129.0228168,2022-01-14
135,서구,공인중개사,김서영,씨앤아이부동산중개사무소,"부산광역시 서구 대영로 51, 101호(서대신동2가, 효정센트럴)",35.10995078,129.0170196,2022-01-14
136,서구,공인중개사,이순름,대림비치공인중개사사무소,"부산광역시 서구 충무대로 133, 105-B114(남부민동, 대림비치아파트)",35.08225838,129.0246474,2022-01-14
137,서구,공인중개사,김태임,금탑공인중개사사무소,부산광역시 서구 충무대로 52-1(암남동),35.07818530,129.0180831,2022-01-14
138,서구,공인중개사,전순이,오렌지공인중개사사무소,부산광역시 서구 구덕로 192-1(토성동3가),35.10179476,129.0200332,2022-01-14
139,서구,공인중개사,김미숙,양지공인중개사사무소,부산광역시 서구 고운들로 132(서대신동1가),35.10856443,129.0146550,2022-01-14
140,서구,공인중개사,김록윤,위모공인중개사사무소,"부산광역시 서구 구덕로 271, 101호(서대신동1가, 올집 시그니처)",35.10848399,129.0188662,2022-01-14
141,서구,공인중개사,김찬우,마린부동산공인중개사사무소,부산광역시 서구 충무대로 35-1(암남동),35.07880207,129.0165556,2022-01-14
142,서구,공인중개사,장윤영,미르공인중개사사무소,"부산광역시 서구 대영로73번길 103, 101호(동대신동3가)",35.11480287,129.0167180,2022-01-14
143,서구,공인중개사,배건규,시원한공인중개사사무소,"부산광역시 서구 천마로 17, 상가 비동 1호(암남동, 신익별장아파트)",35.08023593,129.0196986,2022-01-14
144,서구,공인중개사,장우래,행운부동산공인중개사사무소,부산광역시 서구 보수대로242번길 2(동대신동3가),35.11594649,129.0179280,2022-01-14
145,서구,공인중개사,이은희,해비치부동산공인중개사사무소,부산광역시 서구 대영로 35(서대신동2가),35.10939548,129.0155209,2022-01-14
146,서구,공인중개사,유정희,다희공인중개사사무소,부산광역시 서구 구덕로143번길 20(초장동),35.09781272,129.0197751,2022-01-14
147,서구,공인중개사,김정윤,오션부동산공인중개사사무소,"부산광역시 서구 구덕로185번길 34-16, 101호(아미동2가, 영신빌라)",35.10192790,129.0181373,2022-01-14
148,서구,공인중개사,이근주,서경공인중개사사무소,"부산광역시 서구 대영로 39, 101호 (서대신동2가)",35.10949306,129.0157086,2022-01-14
149,서구,공인중개사,변계영,예가공인중개사사무소,부산광역시 서구 구덕로 150(토성동3가),35.09826490,129.0206692,2022-01-14
150,서구,공인중개사,정은석,뷰공인중개사사무소,부산광역시 서구 구덕로 146-1(토성동5가),35.09801059,129.0208963,2022-01-14
151,서구,공인중개사,고승아,신태양공인중개사사무소,부산광역시 서구 망양로 102(동대신동3가),35.11764415,129.0186403,2022-01-14
152,서구,공인중개사,김종호,그린공인중개사사무소,부산광역시 서구 까치고개로 253-2(토성동1가),35.09969993,129.0236594,2022-01-14
153,서구,공인중개사,임미옥,미래부동산중개사사무소,"부산광역시 서구 대티로 179, 1층(서대신동3가)",35.11160503,129.0121587,2022-01-14
154,서구,공인중개사,석기정,고운들공인중개사사무소,"부산광역시 서구 대영로38번길 11, 110-111(서대신동1가, 대신푸르지오)",35.10739824,129.0161323,2022-01-14
155,서구,공인중개사,정세인,나인공인중개사사무소,부산광역시 서구 구덕로 164(토성동3가),35.09937032,129.0199920,2022-01-14
