연변,시군구,중개업소명,위도,경도
283,부산진구,꿀부동산중개,35.14979927,129.0582982
284,부산진구,제이엘공인중개사사무소,35.14336767,129.0588294
285,부산진구,석박사공인중개사사무소,35.15943167,129.0556023
286,부산진구,대박부동산공인중개사사무소,35.17631844,129.0736167
287,부산진구,세븐부동산공인중개사사무소,35.15725799,129.0660341
288,부산진구,대성공인중개사사무소,35.1463408,129.0620834
289,부산진구,신화1공인중개사사무소,35.15841801,129.0581356
290,부산진구,토박이공인중개사사무소,35.17419585,129.0771456
291,부산진구,다바다부동산중개사무소,35.15683505,129.0494552
292,부산진구,복드림공인중개사사무소,35.15225569,129.0295533
293,부산진구,금빛부동산공인중개사사무소,35.15829261,129.0403749
294,부산진구,사람인부동산중개사무소,35.17817176,129.0719833
295,부산진구,스위첸강남공인중개사사무소,35.17348718,129.077773
296,부산진구,제일부동산공인중개사사무소,35.14473551,129.0601201
297,부산진구,골드라인공인중개사사무소,35.1780131,129.0746271
298,부산진구,빌딩서브공인중개사사무소,35.16194894,129.0656124
299,부산진구,금샘태양공인중개사사무소,35.16634695,129.0667236
300,부산진구,지안공인중개사사무소,35.1650205,129.0627876
301,부산진구,으뜸공인중개사사무소,35.17347529,129.0493949
302,부산진구,킹덤공인중개사사무소,35.15646841,129.0543018
303,부산진구,이룸공인중개사사무소,35.15241999,129.0595943
304,부산진구,다옴부동산중개,35.17028093,129.0683229
305,부산진구,명당공인중개사사무소,35.15096612,129.0349038
306,부산진구,돈되는plus부동산중개사무소,35.15204602,129.0662513
307,부산진구,대한부동산중개사무소,35.15643263,129.0511623
308,부산진구,성우공인중개사사무소,35.15789928,129.0669095
309,부산진구,THE한미공인중개사사무소,35.17600916,129.0544665
310,부산진구,다옴부동산공인중개사사무소,35.17028093,129.0683229
311,부산진구,태원공인중개사사무소,35.15810173,129.063367
312,부산진구,황소부동산중개,35.16585091,129.0647084
313,부산진구,금탑공인중개사사무소,35.17365917,129.0736366
314,부산진구,성원공인중개사사무소,35.1650205,129.0627876
315,부산진구,청담부동산공인중개사사무소,35.17758116,129.0745445
316,부산진구,열린공인중개사사무소,35.17633434,129.052319
317,부산진구,골든뷰공인중개사사무소,35.1650205,129.0627876
318,부산진구,가야로공인중개사사무소,35.15122524,129.0256442
319,부산진구,우리부동산공인중개사사무소,35.17738668,129.0741138
320,부산진구,후부동산중개,35.1538526,129.0637726
321,부산진구,가야고원공인중개사사무소,35.15234754,129.0356896
322,부산진구,동일골드공인중개사사무소,35.16546001,129.0454498
323,부산진구,부암삼정공인중개사사무소,35.17191186,129.0498578
324,부산진구,경희부동산공인중개사사무소,35.15402536,129.0302671
325,부산진구,명성부동산공인중개사사무소,35.17047297,129.0484341
326,부산진구,세븐부동산중개,35.15725799,129.0660341
327,부산진구,더원공인중개사사무소,35.17168935,129.0731606
328,부산진구,미래안공인중개사사무소,35.15799841,129.054574
329,부산진구,모두드림부동산중개,35.15944652,129.0590599
330,부산진구,꿈고래부동산중개사무소,35.1567466,129.0575432
331,부산진구,원탑공인중개사사무소,35.17369644,129.0785662
332,부산진구,부자부동산중개,35.15995985,129.0601423
333,부산진구,부자집부동산중개,35.15995985,129.0601423
334,부산진구,유일공인중개사사무소,35.17035827,129.0677311
335,부산진구,고래부동산공인중개사사무소,35.17418116,129.0777822
336,부산진구,삼한골든공인중개사사무소,35.1650205,129.0627876
337,부산진구,대호공인중개사사무소,35.15903633,129.065739
338,부산진구,대운공인중개사사무소,35.17030818,129.0382778
339,부산진구,1단지부동산공인중개사사무소,35.15920944,129.0269629
340,부산진구,남도공인중개사사무소,35.14172291,129.0623964
341,부산진구,양정롯데캐슬공인중개사사무소,35.17232253,129.0718955
342,부산진구,장원공인중개사사무소,35.14859351,129.0539257
343,부산진구,푸른채공인중개사사무소,35.17161445,129.0278107
344,부산진구,LG공인중개사사무소,35.15083688,129.0204043
345,부산진구,타임부동산공인중개사사무소,35.17479084,129.0730806
346,부산진구,지우부동산중개,35.15890098,129.0637067
347,부산진구,명당공인중개사사무소,35.17047297,129.0484341
348,부산진구,삼정그린코아더시티부동산중개,35.17631844,129.0736167
349,부산진구,무지개공인중개사사무소,35.16596263,129.0509009
350,부산진구,래미안미소부동산공인중개사사무소,35.17343027,129.0525011
351,부산진구,래미안미소공인중개사사무소,35.17343027,129.0525011
352,부산진구,스카이공인중개사사무소,35.16206557,129.0636272
353,부산진구,(주)대표부동산중개법인,35.15359553,129.0488209
354,부산진구,부산부동산중개법인,35.15482608,129.0576061
355,부산진구,주식회사이루다부동산중개법인,35.15798615,129.0621581
356,부산진구,제이에이케이부동산중개법인주식회사 분사무소,35.16625234,129.1583686
357,부산진구,제이에이케이부동산중개법인주식회사 분사무소,35.20372719,129.0789527
358,부산진구,신세기부동산중개법인 주식회사,35.17720647,129.0751215
359,부산진구,주식회사 오케이부동산중개법인 분사무소,35.17187176,129.1206414
360,부산진구,주식회사 제이앤유부동산중개법인,35.17338614,129.0718985
361,부산진구,주식회사 공간부동산중개법인,35.17310446,129.0701164
362,부산진구,(주)금문부동산중개,35.15938287,129.0560297
363,동래구,제일부동산중개사무소,35.21591675,129.0806519
364,동래구,제일부동산중개사무소,35.20578394,129.1017681
365,동래구,한라부동산중개사무소,35.19695358,129.1043829
366,동래구,의령부동산중개사무소,35.19987866,129.0595413
367,동래구,럭키3.1부동산중개사무소,35.20984297,129.0744099
368,동래구,삼성부동산중개사무소,35.19961652,129.0749449
369,동래구,동래부동산중개사무소,35.20452454,129.0855415
370,동래구,한주부동산중개사무소,35.2011383,129.0981911
371,동래구,한성부동산중개사무소,35.19900872,129.0934734
372,동래구,우리동래공인중개사사무소,35.21084749,129.07193
373,동래구,SK탑부동산공인중개사사무소,35.21733242,129.0816043
374,동래구,강남공인중개사사무소,35.20202474,129.0888796
375,동래구,포레나부동산중개사무소,35.19659937,129.0907727
376,동래구,롯데더바른부동산중개사무소,35.19736127,129.0982171
377,동래구,정공인중개사사무소,35.20779112,129.0709892
378,동래구,보덕부동산중개사무소,35.21776152,129.0809949
379,동래구,뉴까치부동산공인중개사사무소,35.21151502,129.0718729
380,동래구,탑공인중개사사무소,35.19476081,129.1076035
381,동래구,동래조은기운부동산중개사무소,35.19837143,129.0841637
382,동래구,BS공인중개사사무소,35.1931072,129.099159
383,동래구,원탑부동산중개사무소,35.21084749,129.07193
384,동래구,금샘공인중개사사무소,35.20079351,129.0569725
385,동래구,씨스타부동산공인중개사사무소,35.20829833,129.0717317
386,동래구,래미안퍼스트공인중개사사무소,35.21084749,129.07193
387,동래구,The스타공인중개사사무소,35.19625282,129.0649298
388,동래구,주연공인중개사사무소,35.19961652,129.0749449
389,동래구,모든래미안공인중개사사무소,35.21146016,129.0689068
390,동래구,강남공인중개사사무소,35.20098641,129.0668256
391,동래구,영동부동산중개사무소,35.19985426,129.0745637
392,동래구,현공인중개사사무소,35.20991739,129.0771895
393,동래구,사직조아공인중개사사무소,35.19785111,129.0666528
394,동래구,대우부동산중개사무소,35.20430886,129.0753802
395,동래구,다온부동산중개사무소,35.19978292,129.0642841
396,동래구,장안부동산공인중개사사무소,35.20239631,129.0715003
397,동래구,미소공인중개사사무소,35.20075409,129.0828227
398,동래구,동래래미안공인중개사사무소,35.21144711,129.0734316
399,동래구,SK삼정부동산공인중개사사무소,35.2194042,129.0837737
400,동래구,행운부동산공인중개사사무소,35.19620439,129.0673559
401,동래구,성창공인중개사사무소,35.21057043,129.0736946
